,index,opp,ident,layer,path,afvoer,meetpunt_code,SG_fid,SG_Join_Count,SG_TARGET_FID,SG_name,SG_ET_ID,SG_Qmeter,SG_Shape_Leng,SG_Shape_Area,SG_REGIO,SG_code,SG_globalid,SG_lateraleknoopid,total_area_meetpunt,relative_size,meetpuntcode_string,Q5_added,Q50_added,SG_Q5,SG_Q50,Q140_added,SG_Q140,geometry,x,y
0,10.001_B_4,11168937.916592121,10.001_B_4,lateral_belgie_geul,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral_belgie_geul.shp,0.01,43651.0,99.0,0.0,21.0,10.001_B,20.0,10.Q.29,48977.1790475,11168937.916592121,Zeer Hevig + 5%,,,,154469607.4,0.07230508385814749,43651,0.54,5.0,0.039,0.362,32.2,2.3282237002323494,POINT Z (5.980317750539511 50.722340289991735 0),5.980317750539511,50.722340289991735
1,10.001_B_1,76040590.2055692,10.001_B_1,lateral_belgie_geul,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral_belgie_geul.shp,0.01,43651.0,100.0,0.0,21.0,10.001_B,20.0,10.Q.29,48977.1790475,76040590.2055692,Zeer Hevig + 5%,,,,154469607.4,0.4922689419975129,43651,0.54,5.0,0.266,2.461,32.2,15.851059932319917,POINT Z (6.001688376259364 50.708655474491444 0),6.001688376259364,50.708655474491444
2,10.001_B_5,6762445.1606533555,10.001_B_5,lateral_belgie_geul,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral_belgie_geul.shp,0.01,43651.0,101.0,0.0,21.0,10.001_B,20.0,10.Q.29,48977.1790475,6762445.1606533555,Zeer Hevig + 5%,,,,154469607.4,0.04377848351191806,43651,0.54,5.0,0.024,0.219,32.2,1.4096671690837614,POINT Z (5.96768255169369 50.73802937907753 0),5.96768255169369,50.73802937907753
3,10.001_B_3,9719749.309057865,10.001_B_3,lateral_belgie_geul,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral_belgie_geul.shp,0.01,43651.0,102.0,0.0,21.0,10.001_B,20.0,10.Q.29,48977.1790475,9719749.309057865,Zeer Hevig + 5%,,,,154469607.4,0.06292337679015726,43651,0.54,5.0,0.034,0.315,32.2,2.026132732643064,POINT Z (5.987607938377156 50.718403197144355 0),5.987607938377156,50.718403197144355
4,10.001_B_6,8274161.73006356,10.001_B_6,lateral_belgie_geul,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral_belgie_geul.shp,0.01,43651.0,103.0,0.0,21.0,10.001_B,20.0,10.Q.29,48977.1790475,8274161.73006356,Zeer Hevig + 5%,,,,154469607.4,0.0535649819361395,43651,0.54,5.0,0.029,0.268,32.2,1.724792418343692,POINT Z (5.9650463167535985 50.74184869326418 0),5.9650463167535985,50.74184869326418
5,10.001_B_7,4867764.873219221,10.001_B_7,lateral_belgie_geul,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral_belgie_geul.shp,0.01,43651.0,104.0,0.0,21.0,10.001_B,20.0,10.Q.29,48977.1790475,4867764.873219221,Zeer Hevig + 5%,,,,154469607.4,0.03151276781984765,43651,0.54,5.0,0.017,0.158,32.2,1.0147111237990944,POINT Z (5.944850690768326 50.7491254815897 0),5.944850690768326,50.7491254815897
6,13.001_B_3,9281437.241556048,13.001_B_3,lateral_belgie_gulp,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral_belgie_gulp.shp,0.01,43197.0,106.0,0.0,91.0,13.001_B,90.0,13.Q.34,26508.5699914,9281437.241556048,Zeer Hevig + 5%,,,,46047963.23,0.20156021223343148,43197,0.2,0.96,0.04,0.193,4.7,0.947332997497128,POINT Z (5.894284480607968 50.73989082356633 0),5.894284480607968,50.73989082356633
7,13.001_B_2,10110508.797804765,13.001_B_2,lateral_belgie_gulp,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral_belgie_gulp.shp,0.01,43197.0,107.0,0.0,91.0,13.001_B,90.0,13.Q.34,26508.5699914,10110508.797804765,Zeer Hevig + 5%,,,,46047963.23,0.21956473399930584,43197,0.2,0.96,0.044,0.211,4.7,1.0319542497967376,POINT Z (5.915409286857435 50.714757900102605 0),5.915409286857435,50.714757900102605
8,13.001_B_1,6460193.102044109,13.001_B_1,lateral_belgie_gulp,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral_belgie_gulp.shp,0.01,43197.0,108.0,0.0,91.0,13.001_B,90.0,13.Q.34,26508.5699914,6460193.102044109,Zeer Hevig + 5%,,,,46047963.23,0.14029270023902662,43197,0.2,0.96,0.028,0.135,4.7,0.6593756911234252,POINT Z (5.924644822806153 50.68884537522827 0),5.924644822806153,50.68884537522827
9,10.001_01,2029173.75961,10.001_01,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,1.0,1.0,1.0,10.001_01,0.0,10.Q.36,6675.28135935,2029169.1220375085,De Bilt,2,3,10.001_01,76659515.05,0.026469892494284813,43035,0.833,1.393,0.022,0.037,8.4,0.22234709695199242,POINT Z (5.75766653329522 50.880147867392566 52.15163175759479),5.75766653329522,50.880147867392566
10,10.001_03,3432817.69413,10.001_03,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,3.0,1.0,3.0,10.001_03,2.0,10.Q.36,12889.4106229,3432817.9470221344,De Bilt,4,5,10.001_03,76659515.05,0.044780063437436714,43035,0.833,1.393,0.037,0.062,8.4,0.3761525328744684,POINT Z (5.791885838928444 50.86846019880822 58.59569149698221),5.791885838928444,50.86846019880822
11,10.001_04,2564133.71316,10.001_04,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,4.0,1.0,4.0,10.001_04,3.0,10.Q.36,9756.67771736,2564133.2448438425,De Bilt,5,6,10.001_04,76659515.05,0.03344833636335197,43035,0.833,1.393,0.028,0.047,8.4,0.28096602545215654,POINT Z (5.814386991654008 50.867627763842265 60.4140103620761),5.814386991654008,50.867627763842265
12,10.001_05,1240018.20024,10.001_05,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,5.0,1.0,5.0,10.001_05,4.0,10.Q.36,7743.87342647,1240018.2558926868,De Bilt,6,7,10.001_05,76659515.05,0.016175660061036178,43035,0.833,1.393,0.013,0.023,8.4,0.1358755445127039,POINT Z (5.8276254618714285 50.865884031066265 65.30456616012474),5.8276254618714285,50.865884031066265
13,10.001_09,1567204.11228,10.001_09,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,9.0,1.0,9.0,10.001_09,8.0,10.Q.36,7287.70880865,1567204.1669909921,De Bilt,10,11,10.001_09,76659515.05,0.0204437005108734,43035,0.833,1.393,0.017,0.028,8.4,0.17172708429133657,POINT Z (5.869553076348519 50.85446045941145 72.72523601462683),5.869553076348519,50.85446045941145
14,10.001_10,2808158.70722,10.001_10,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,10.0,1.0,10.0,10.001_10,9.0,10.Q.36,8845.90857154,2808158.591523883,De Bilt,11,12,10.001_10,76659515.05,0.03663157260637906,43035,0.833,1.393,0.031,0.051,8.4,0.30770520989358413,POINT Z (5.875545892634441 50.84713618170089 75.46950824267877),5.875545892634441,50.84713618170089
15,10.001_11,832997.811228,10.001_11,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,11.0,1.0,11.0,10.001_11,10.0,10.Q.36,5056.60074454,832997.6113877014,Hevig,12,13,10.001_11,76659515.05,0.010866199855874269,43035,0.833,1.393,0.009,0.015,8.4,0.09127607878934386,POINT Z (5.886872559084405 50.838142659859706 79.66946671734152),5.886872559084405,50.838142659859706
16,10.001_14,222857.456594,10.001_14,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,14.0,1.0,14.0,10.001_14,13.0,10.Q.36,2327.03050891,111428.69963310333,Hevig,15,16,10.001_14,76659515.05,0.0014535534116074914,43035,0.833,1.393,0.001,0.002,8.4,0.012209848657502928,POINT Z (5.908160592233452 50.812255597861146 90.92210334146462),5.908160592233452,50.812255597861146
17,10.001_15,212975.222031,10.001_15,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43651.0,15.0,1.0,15.0,10.001_15,14.0,10.Q.30,2676.92824904,212975.15365928318,Hevig,16,17,10.001_15,154469607.4,0.0013787511811807918,43651,0.54,5.0,0.001,0.007,32.2,0.0443957880340215,POINT Z (5.919355426628101 50.7953123277339 98.53203429339818),5.919355426628101,50.7953123277339
18,10.001_17,1765007.7692,10.001_17,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43651.0,17.0,1.0,17.0,10.001_17,16.0,10.Q.30,7140.49148095,1765007.3632861637,Zeer Hevig,18,19,10.001_17,154469607.4,0.011426243602184255,43651,0.54,5.0,0.006,0.057,32.2,0.36792504399033304,POINT Z (5.919496047110061 50.784008351106465 109.00444958806463),5.919496047110061,50.784008351106465
19,10.001_18,125746.970635,10.001_18,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43651.0,18.0,1.0,18.0,10.001_18,17.0,10.Q.30,2430.04484551,125747.48956662044,Zeer Hevig,19,20,10.001_18,154469607.4,0.000814059747306773,43651,0.54,5.0,0.0,0.004,32.2,0.02621272386327809,POINT Z (5.922707502895895 50.77393085787508 110.02194546485676),5.922707502895895,50.77393085787508
20,10.001_20,3586158.64662,10.001_20,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43651.0,20.0,1.0,20.0,10.001_20,19.0,10.Q.30,11754.3940503,3586139.4226954407,Zeer Hevig,21,22,10.001_20,154469607.4,0.023215825320311138,43651,0.54,5.0,0.013,0.116,32.2,0.7475495753140187,POINT Z (5.930192407370472 50.762556736991044 119.36625198013175),5.930192407370472,50.762556736991044
21,10.043,5402803.84829,10.043,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,34.0,1.0,34.0,10.043,33.0,10.Q.36,13056.3754958,5402804.524382315,De Bilt,35,36,10.043,76659515.05,0.07047793768142699,43035,0.833,1.393,0.059,0.098,8.4,0.5920146765239868,POINT Z (5.860177382143323 50.853009394224266 0.383796451986399),5.860177382143323,50.853009394224266
22,10.045P,2241956.10254,10.045P,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,35.0,1.0,35.0,10.045P,34.0,10.Q.36,8204.53479853,2241955.751761346,De Bilt,36,37,10.045P,76659515.05,0.029245629199442034,43035,0.833,1.393,0.024,0.041,8.4,0.2456632852753131,POINT Z (5.848164974616893 50.85504254698799 75.34429460319872),5.848164974616893,50.85504254698799
23,10.047,3147868.41195,10.047,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,38.0,1.0,38.0,10.047,37.0,10.Q.36,9640.82628214,3147868.4270602395,De Bilt,39,40,10.047,76659515.05,0.04106298383191037,43035,0.833,1.393,0.034,0.057,8.4,0.34492906418804714,POINT Z (5.835730082192961 50.86772041617939 0),5.835730082192961,50.86772041617939
24,10.055,2059563.36326,10.055,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,41.0,1.0,41.0,10.055,40.0,10.Q.36,7498.52240387,2059563.547475508,De Bilt,42,43,10.055,76659515.05,0.026866378506727955,43035,0.833,1.393,0.022,0.037,8.4,0.22567757945651482,POINT Z (5.782943969989288 50.874151749668606 0),5.782943969989288,50.874151749668606
25,10.H.14,3154814.59321,10.H.14,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,45.0,1.0,45.0,10.H.14,44.0,10.Q.36,10884.7798586,3154814.837280464,Hevig,46,47,10.H.14,76659515.05,0.04115359763524181,43035,0.833,1.393,0.034,0.057,8.4,0.34569022013603123,POINT Z (5.8927493919918215 50.829720380633304 85.62096572303126),5.8927493919918215,50.829720380633304
26,10.H.16,196491.47518,10.H.16,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,46.0,1.0,46.0,10.H.16,45.0,10.Q.36,2482.91520044,196491.46848583012,De Bilt,47,48,10.H.16,76659515.05,0.002563171295274586,43035,0.833,1.393,0.002,0.004,8.4,0.021530638880306523,POINT Z (5.836107198669377 50.862709297650056 66.0240694393476),5.836107198669377,50.862709297650056
27,11.001_01,1092266.29862,11.001_01,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,50.0,1.0,50.0,11.001_01,49.0,10.Q.36,4733.54182246,1092265.1940102605,Hevig,51,52,11.001_01,76659515.05,0.014248266419345951,43035,0.833,1.393,0.012,0.02,8.4,0.119685437922506,POINT Z (5.901244148659674 50.82052668055181 93.33028509002317),5.901244148659674,50.82052668055181
28,11.001_06,128176.295662,11.001_06,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,42882.0,55.0,1.0,55.0,11.001_06,54.0,11.Q.32,1974.19074033,128176.43355068634,Hevig,56,57,11.001_06,27948260.55,0.004586204330011026,42882,0.06,0.33,0.0,0.002,3.2,0.014675853856035285,POINT Z (5.96009319666236 50.827325011522085 122.08252586488229),5.96009319666236,50.827325011522085
29,11.001_07,1019718.5524,11.001_07,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,42882.0,56.0,1.0,56.0,11.001_07,55.0,11.Q.32,4893.68247415,1019718.6171625734,Hevig,57,58,11.001_07,27948260.55,0.036485942133617805,42882,0.06,0.33,0.002,0.012,3.2,0.11675501482757698,POINT Z (5.968441923930423 50.83150910260519 127.21311548527319),5.968441923930423,50.83150910260519
30,11.001_B,9188621.66642,11.001_B,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,42882.0,59.0,0.0,59.0,11.001_B,58.0,11.Q.32,15170.9292004,9188611.846769212,Zeer Hevig,60,61,11.001_B,27948260.55,0.3287722264622015,42882,0.06,0.33,0.02,0.108,3.2,1.0520711246790448,POINT Z (6.006532088608141 50.822339784714934 157.04823677477913),6.006532088608141,50.822339784714934
31,11.005,2636829.17702,11.005,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,42882.0,61.0,1.0,61.0,11.005,60.0,11.Q.32,10020.5120067,2636829.274026853,Hevig,62,63,11.005,27948260.55,0.09434681164895799,42882,0.06,0.33,0.006,0.031,3.2,0.30190979727666556,POINT Z (5.991692849237501 50.835849589134405 140.4383971240073),5.991692849237501,50.835849589134405
32,11.007R,972753.316187,11.007R,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,42882.0,66.0,1.0,66.0,11.007R,65.0,11.Q.32,4718.95962274,972753.726799042,Hevig,67,68,11.007R,27948260.55,0.03480551947262571,42882,0.06,0.33,0.002,0.011,3.2,0.11137766231240227,POINT Z (5.930020967556388 50.82415107724562 105.35226537010341),5.930020967556388,50.82415107724562
33,12.001_01,3703438.66847,12.001_01,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43488.0,67.0,1.0,67.0,12.001_01,66.0,12.Q.31,12203.9724768,3703438.776907203,Hevig,68,69,12.001_01,31284109.45,0.1183808279032601,43488,0.067,0.447,0.008,0.053,2.9,0.3433044009194543,POINT Z (5.941130245362215 50.81199380471825 118.17418205158096),5.941130245362215,50.81199380471825
34,12.001_02,3265448.6946,12.001_02,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43488.0,68.0,0.0,68.0,12.001_02,67.0,12.Q.31,9268.94147169,3265447.198450855,Zeer Hevig,69,70,12.001_02,31284109.45,0.10438037891632729,43488,0.067,0.447,0.007,0.047,2.9,0.30270309885734914,POINT Z (5.964905006304786 50.80242588999889 126.01072505282198),5.964905006304786,50.80242588999889
35,12.001_03,136205.647568,12.001_03,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43488.0,69.0,1.0,69.0,12.001_03,68.0,12.Q.31,1677.59883957,136205.62998206913,Zeer Hevig,70,71,12.001_03,31284109.45,0.004353827945774213,43488,0.067,0.447,0.0,0.002,2.9,0.012626101042745216,POINT Z (5.981915044955057 50.79512141678719 132.5601697837606),5.981915044955057,50.79512141678719
36,12.001_05,79687.6285818,12.001_05,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43488.0,71.0,0.0,71.0,12.001_05,70.0,12.Q.31,1388.35090608,79687.61788050272,Zeer Hevig,72,73,12.001_05,31284109.45,0.0025472234716434517,43488,0.067,0.447,0.0,0.001,2.9,0.00738694806776601,POINT Z (5.995300704115502 50.79028447443291 142.01226742704907),5.995300704115502,50.79028447443291
37,12.001_B,2362858.44309,12.001_B,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43488.0,74.0,0.0,74.0,12.001_B,73.0,12.Q.31,6451.26345622,590713.495841546,Zeer Hevig,75,76,12.001_B,31284109.45,0.018882221876434013,43488,0.067,0.447,0.001,0.008,2.9,0.05475844344165864,POINT Z (6.027772595993685 50.773880581106624 180.85495164604575),6.027772595993685,50.773880581106624
38,12.001_07,2749117.71082,12.001_07,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43488.0,75.0,1.0,75.0,12.001_07,74.0,12.Q.31,7036.78549362,2749121.25205311,Zeer Hevig,76,77,12.001_07,31284109.45,0.08787596324091974,43488,0.067,0.447,0.006,0.039,2.9,0.25484029339866726,POINT Z (6.0001891722892235 50.78535676737362 145.75510713389713),6.0001891722892235,50.78535676737362
39,12.Q.50,1452260.26749,12.Q.50,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43488.0,84.0,1.0,84.0,12.Q.50,83.0,12.Q.31,6055.53017841,1452260.2460794346,Hevig,85,86,12.Q.50,31284109.45,0.04642165852285224,43488,0.067,0.447,0.003,0.021,2.9,0.1346228097162715,POINT Z (5.925515324668487 50.81141442186923 104.35088751485384),5.925515324668487,50.81141442186923
40,13.001_01,528134.408895,13.001_01,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,85.0,1.0,85.0,13.001_01,84.0,10.Q.36,3736.53364795,528134.6916697728,Hevig,86,87,13.001_01,76659515.05,0.00688935602221466,43035,0.833,1.393,0.006,0.01,8.4,0.05787059058660315,POINT Z (5.894657767077647 50.81829725885025 90.20260359521441),5.894657767077647,50.81829725885025
41,13.001_04,246536.328787,13.001_04,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43197.0,88.0,1.0,88.0,13.001_04,87.0,13.Q.34,2353.07945761,246536.2893514699,Hevig,89,90,13.001_04,46047963.23,0.005353902150244353,43197,0.2,0.96,0.001,0.005,4.7,0.02516334010614846,POINT Z (5.867104611117253 50.79806273702657 110.17233256397888),5.867104611117253,50.79806273702657
42,13.001_06,2644107.05384,13.001_06,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43197.0,90.0,1.0,90.0,13.001_06,89.0,13.Q.34,8064.8116581,2644107.414475713,Hevig,91,92,13.001_06,46047963.23,0.05742072458816357,43197,0.2,0.96,0.011,0.055,4.7,0.2698774055643688,POINT Z (5.856675875129834 50.7820049249433 130.66976455788551),5.856675875129834,50.7820049249433
43,13.008,3580045.50002,13.008,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43197.0,93.0,1.0,93.0,13.008,92.0,13.Q.34,9739.36291597,3580045.915075404,Hevig,94,95,13.008,46047963.23,0.07774602097369257,43197,0.2,0.96,0.016,0.075,4.7,0.3654062985763551,POINT Z (5.873509025114593 50.80544449992709 109.19451282170895),5.873509025114593,50.80544449992709
44,13.H.25,1481407.5432,13.H.25,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43197.0,96.0,1.0,96.0,13.H.25,95.0,13.Q.34,7273.23003897,1481407.3998709773,Hevig,97,98,13.H.25,46047963.23,0.03217096470633577,43197,0.2,0.96,0.006,0.031,4.7,0.15120353411977813,POINT Z (5.864610371079617 50.76762966765047 137.51735947839694),5.864610371079617,50.76762966765047
45,10.Q.36,4998259.92841,10.Q.36,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,49.0,1.0,49.0,10.Q.36,48.0,10.Q.36,13177.9185346,4998259.619382569,De Bilt,50,51,10.Q.36,76659515.05,0.06520077274324694,43035,0.833,1.393,0.054,0.091,8.4,0.5476864910432743,POINT Z (5.73920209382404 50.883112058904196 48.70886534766747),5.73920209382404,50.883112058904196
46,999,,999,,,,,,,,999,,999,,,,,,999,,,,,,,,,,POINT Z (5.718353792865956 50.89658775652321 0),5.718353792865956,50.89658775652321
